id,created_at,text,likes,in reply to,retweeted
1275319228808093696,2020-06-23 06:46:13,PK sir is super cool in person! 😁😁 https://t.co/Fj6joYnBWi,0,,False
1275026805938765824,2020-06-22 11:24:14,RT @rishabhk_: Prof @ponguru starts keynote lecture in #acm-workshop on #datascience and #machinelearning at @AcmIgdtuw https://t.co/5FijJ5…,0,,True
1275026778533191680,2020-06-22 11:24:07,"RT @AcmIgdtuw: A very interesting session by Prof. Ponnurangam Kumaraguru, as a part of the ML summer workshop by ACM IGDTUW
#SessionGiri w…",0,,True
1274988264676421633,2020-06-22 08:51:05,"RT @rishabhk_: Expert Lecture on #semantic #web by Dr Niyati Baliyan, IT Dept at #igdtuw in #acm-workshop on #datascience and #machinelearn…",0,,True
1273120855237840897,2020-06-17 05:10:39,"RT @AcmIgdtuw: Numpy session in progress with @Hitkul_ sir!✨✨

#acmWorkshop #internship #machinelearning #python #numpy #datascience #acm_i…",0,,True
1272916349531172864,2020-06-16 15:38:02,"RT @AcmIgdtuw: The ACM summer workshop-cum-internship is off to a great start! Onboarding session with our @rishabhk_ sir!✨✨✨
#MachineLearn…",0,,True
1269256566403825664,2020-06-06 13:15:21,RT @IAmMarkManson: https://t.co/YC62iW9uJK,0,,True
1268877147717820416,2020-06-05 12:07:41,@IAmMarkManson Glad to see 'Diary of a Young Girl' in this list. It was a part of my curriculum in high school. (India),0,IAmMarkManson,False
1268874592187060224,2020-06-05 11:57:31,"RT @AcmIgdtuw: Refer the poster for the details of the workshop!✨

For registration and more details kindly visit:
https://t.co/SX3jlDOvHm…",0,,True
1268630504426754048,2020-06-04 19:47:36,@florinpop1705 हेलो विश्व 🇮🇳,0,florinpop1705,False
1268629739339517952,2020-06-04 19:44:34,RT @rishabhk_: Organizing a fully Online Summer Workshop 2020 on #datascience and #machinelearning under the aegis of @AcmIgdtuw (ACM Stude…,0,,True
1267729120969949184,2020-06-02 08:05:50,"RT @IAmMarkManson: With more and more people working from home, productivity is becoming a bigger question in people's minds. Here are thre…",0,,True
1267105581023854597,2020-05-31 14:48:06,"RT @AcmIgdtuw: ACM IGDTUW is organizing a summer workshop-cum-internship on Data Science Machine learning from 15 June - 31 July
Note : The…",0,,True
1264133811606040576,2020-05-23 09:59:21,"Virtual 
@WtmIndia
 Summit! An insightful session was taken by Payal Nanjiani about leadership! Thank you, Ma'am!… https://t.co/oPOSauZYeO",4,,False
1264133383761858560,2020-05-23 09:57:39,https://t.co/3LE7uoDAB8,0,,False
1257898825215283200,2020-05-06 05:03:45,"RT @AcmIgdtuw: Winners for AdvayaHacks are here!🔥🔥 Thank you to @rishabhk_ sir for him immense guidance and support throughout!
#hackathon…",0,,True
1256858677639884800,2020-05-03 08:10:34,"@ChatDjango @wsv3000 Sir, I was exploring the website https://t.co/OLFX7fsZWU and found an issue. When we sign up,… https://t.co/fxpLAfJuTm",0,ChatDjango,False
